Country Name,Country Code,year,exports,imports,government,carbon_intensity,investment,gdp,consumption
Cabo Verde,CPV,2023,-49265678.427555084,-113007819.87910771,11521711.565449238,-0.03996479400197245,NA,113768812.6421895,103959049.67972541
Comoros,COM,1991,-2215827.5168372244,-6651847.018546671,-2965116.1736263856,0.02042065086477937,-3130602.4657558873,-28545227.78389418,-27016508.37141043
Comoros,COM,1992,3314390.408148125,9949699.897091925,4435161.536799431,-0.020515077784349273,4682692.651619069,42697353.46900886,40410753.456302226
Comoros,COM,1993,1267480.0147356242,3804935.994376555,1696081.9542150572,-0.0037736433015525678,1790742.150325194,16328771.334629893,15453766.342665732
Comoros,COM,1994,-2291840.164195657,-6880034.45544152,-3066832.7622948065,0.0037340697104915055,-3237995.8515753523,-29524849.29161817,-27943293.086302698
Comoros,COM,1995,1485262.0945941955,4458711.486919627,1987507.7305778489,-7.626772275269589e-4,2098432.6022664383,19134051.10674864,18109078.115430653
Comoros,COM,1996,-550596.7068189085,-1652874.4014206827,-736782.3273746148,0.003727679666386513,-777903.2035626769,-7093088.350044489,-6713157.388181746
Comoros,COM,1997,1695810.7942446768,5090772.691500679,2269254.196511954,-0.002810155923157906,2395903.903373748,21845035.760476947,20676197.99785608
Comoros,COM,1998,561449.6751199067,1685454.4971767366,751305.466470547,0.01831959303900703,793236.5018703789,7231911.71878624,6845481.744864166
Comoros,COM,1999,853030.1560475081,2560770.851886779,1141484.916047074,9.997946283969161e-4,1205192.6231700927,10990619.910187244,10400583.354685545
Comoros,COM,2000,4901865.238792352,14715251.066849828,6559445.481261633,0.0472494913559805,6925535.307367802,63146297.61553693,59766062.94112611
Comoros,COM,2001,1168524.8410925493,3507875.792691469,1563664.7330134884,0.005117904916461941,1650934.6915449202,15053167.927513361,14247254.55819273
Comoros,COM,2002,1191612.0037722439,3577183.0627242327,1594559.2546286434,0.0017149980740491788,1683553.2976238728,15351769.135750055,14528747.117460966
Comoros,COM,2003,1103570.2103518993,3312884.3192819953,1476745.7797845453,0.039862864106546075,1559164.3671915382,14214989.097375035,13455295.16990745
Comoros,COM,2004,1027985.9793751165,3085982.5206252337,1375602.2682036906,0.011685057645222763,1452376.3027157784,13243225.516183615,12533732.81418991
Comoros,COM,2005,1548654.0405697152,4649012.487452954,2072336.1416327357,-0.011444848657501672,2187995.3995660692,19951275.466133475,18881987.217101216
Comoros,COM,2006,1485672.271479763,4459942.903549969,1988056.7184953243,0.032208565883944995,2099012.3045642525,19139289.724437,18114079.83053434
Comoros,COM,2007,-466016.2267149687,-13387595.645786762,-4047086.6998952627,-0.07713270009845688,-2499781.034168318,5937973.149760246,405773.8299355507
Comoros,COM,2008,-571483.4042608738,19946119.23286262,6818229.609387413,-0.005191741108736547,11124885.640441671,29661053.35151577,32110538.99906397
Comoros,COM,2009,10693026.066294067,25311625.36426145,9575093.3479155,0.02793125984225625,-3420941.7878355086,25206688.162806034,31955776.3146441
Comoros,COM,2010,9888672.76045236,-6144801.099352807,522273.76476582885,0.022290264422320433,3897172.9189970344,30335960.708022475,14900285.999859214
